name,count_female,count_male,count_total_gender,share_female,share_male,race_W,count_race_W,race_B,count_race_B,race_H,count_race_H,race_A,count_race_A,count_total_race,share_white,share_black,share_hispanic,share_asian
Alex,0,420,420,0,1,WHITE,84,BLACK,42,HISPANIC,158,ASIAN_PACIFIC-ISLANDER,136,420,0.2,0.1,0.376190476190476,0.323809523809524
Edwin,0,145,145,0,1,,,,,HISPANIC,121,ASIAN_PACIFIC-ISLANDER,24,145,0,0,0.83448275862069,0.16551724137931
Axel,0,195,195,0,1,WHITE,25,,,HISPANIC,170,,,195,0.128205128205128,0,0.871794871794872,0
Andy,0,236,236,0,1,,,,,HISPANIC,110,ASIAN_PACIFIC-ISLANDER,126,236,0,0,0.466101694915254,0.533898305084746
Derek,0,218,218,0,1,,,,,HISPANIC,135,ASIAN_PACIFIC-ISLANDER,83,218,0,0,0.619266055045872,0.380733944954128
Jadiel,0,119,119,0,1,,,,,HISPANIC,119,,,119,0,0,1,0
Adam,0,782,782,0,1,WHITE,469,BLACK,59,HISPANIC,149,ASIAN_PACIFIC-ISLANDER,105,782,0.599744245524297,0.0754475703324808,0.190537084398977,0.134271099744246
Eli,0,546,546,0,1,WHITE,299,BLACK,82,HISPANIC,127,ASIAN_PACIFIC-ISLANDER,38,546,0.547619047619048,0.15018315018315,0.232600732600733,0.0695970695970696
Alan,0,330,330,0,1,WHITE,79,,,HISPANIC,167,ASIAN_PACIFIC-ISLANDER,84,330,0.239393939393939,0,0.506060606060606,0.254545454545455
Edward,0,283,283,0,1,WHITE,115,,,HISPANIC,133,ASIAN_PACIFIC-ISLANDER,35,283,0.406360424028269,0,0.469964664310954,0.123674911660777
Josue,0,113,113,0,1,,,,,HISPANIC,113,,,113,0,0,1,0
Damian,0,183,183,0,1,WHITE,42,,,HISPANIC,141,,,183,0.229508196721311,0,0.770491803278689,0
Manuel,0,95,95,0,1,,,,,HISPANIC,95,,,95,0,0,1,0
Randy,0,93,93,0,1,,,,,HISPANIC,93,,,93,0,0,1,0
Caleb,0,417,417,0,1,WHITE,88,BLACK,138,HISPANIC,123,ASIAN_PACIFIC-ISLANDER,68,417,0.211031175059952,0.330935251798561,0.294964028776978,0.163069544364508
Oliver,0,619,619,0,1,WHITE,375,,,HISPANIC,128,ASIAN_PACIFIC-ISLANDER,116,619,0.605815831987076,0,0.206785137318255,0.187399030694669
Ivan,0,321,321,0,1,WHITE,44,,,HISPANIC,122,ASIAN_PACIFIC-ISLANDER,155,321,0.137071651090343,0,0.38006230529595,0.482866043613707
Richard,0,292,292,0,1,WHITE,85,BLACK,52,HISPANIC,83,ASIAN_PACIFIC-ISLANDER,72,292,0.291095890410959,0.178082191780822,0.284246575342466,0.246575342465753
Eduardo,0,83,83,0,1,,,,,HISPANIC,83,,,83,0,0,1,0
Giovanni,0,233,233,0,1,WHITE,78,BLACK,51,HISPANIC,104,,,233,0.334763948497854,0.218884120171674,0.446351931330472,0
Kayden,0,322,322,0,1,,,BLACK,152,HISPANIC,141,ASIAN_PACIFIC-ISLANDER,29,322,0,0.472049689440994,0.437888198757764,0.0900621118012422
Max,0,506,506,0,1,WHITE,312,,,HISPANIC,99,ASIAN_PACIFIC-ISLANDER,95,506,0.616600790513834,0,0.195652173913043,0.187747035573123
Brian,0,306,306,0,1,WHITE,58,BLACK,22,HISPANIC,98,ASIAN_PACIFIC-ISLANDER,128,306,0.189542483660131,0.0718954248366013,0.320261437908497,0.418300653594771
Cristian,0,111,111,0,1,,,,,HISPANIC,111,,,111,0,0,1,0
Jake,0,299,299,0,1,WHITE,152,,,HISPANIC,112,ASIAN_PACIFIC-ISLANDER,35,299,0.508361204013378,0,0.374581939799331,0.117056856187291
Oscar,0,291,291,0,1,WHITE,105,,,HISPANIC,108,ASIAN_PACIFIC-ISLANDER,78,291,0.360824742268041,0,0.371134020618557,0.268041237113402
Anderson,0,104,104,0,1,WHITE,11,,,HISPANIC,93,,,104,0.105769230769231,0,0.894230769230769,0
Jorge,0,101,101,0,1,,,,,HISPANIC,101,,,101,0,0,1,0
Henry,0,753,753,0,1,WHITE,519,BLACK,10,HISPANIC,102,ASIAN_PACIFIC-ISLANDER,122,753,0.689243027888446,0.0132802124833997,0.135458167330677,0.162018592297477
Johan,0,107,107,0,1,,,,,HISPANIC,107,,,107,0,0,1,0
Jace,0,267,267,0,1,WHITE,33,BLACK,92,HISPANIC,131,ASIAN_PACIFIC-ISLANDER,11,267,0.123595505617978,0.344569288389513,0.49063670411985,0.0411985018726592
Kenneth,0,123,123,0,1,,,BLACK,24,HISPANIC,88,ASIAN_PACIFIC-ISLANDER,11,123,0,0.195121951219512,0.715447154471545,0.0894308943089431
Cesar,0,83,83,0,1,,,,,HISPANIC,83,,,83,0,0,1,0
Eric,0,493,493,0,1,WHITE,81,BLACK,39,HISPANIC,95,ASIAN_PACIFIC-ISLANDER,278,493,0.164300202839757,0.0791075050709939,0.192697768762678,0.563894523326572
Jean,0,61,61,0,1,,,,,HISPANIC,61,,,61,0,0,1,0
Rafael,0,179,179,0,1,WHITE,87,,,HISPANIC,92,,,179,0.486033519553073,0,0.513966480446927,0
Andres,0,85,85,0,1,,,,,HISPANIC,85,,,85,0,0,1,0
Antonio,0,179,179,0,1,WHITE,84,BLACK,24,HISPANIC,71,,,179,0.46927374301676,0.134078212290503,0.396648044692737,0
Chris,0,120,120,0,1,WHITE,14,BLACK,12,HISPANIC,69,ASIAN_PACIFIC-ISLANDER,25,120,0.116666666666667,0.1,0.575,0.208333333333333
Jeffrey,0,135,135,0,1,,,,,HISPANIC,79,ASIAN_PACIFIC-ISLANDER,56,135,0,0,0.585185185185185,0.414814814814815
Tristan,0,336,336,0,1,WHITE,61,BLACK,146,HISPANIC,71,ASIAN_PACIFIC-ISLANDER,58,336,0.181547619047619,0.43452380952381,0.211309523809524,0.172619047619048
Emanuel,0,76,76,0,1,,,,,HISPANIC,76,,,76,0,0,1,0
Javier,0,100,100,0,1,,,,,HISPANIC,100,,,100,0,0,1,0
Dariel,0,78,78,0,1,,,,,HISPANIC,78,,,78,0,0,1,0
Fernando,0,79,79,0,1,,,,,HISPANIC,79,,,79,0,0,1,0
Iker,0,103,103,0,1,,,,,HISPANIC,103,,,103,0,0,1,0
